order_item_id,order_id,product_id,quantity,unit_price
1,1,33,1,270.43
2,1,88,1,257.22
3,1,88,3,257.22
4,1,83,3,294.37
5,1,15,3,326.69
6,2,59,1,85.88
7,2,93,3,397.08
8,3,65,1,422.21
9,3,81,3,282.88
10,4,78,2,232.13
11,4,20,3,8.22
12,4,21,1,403.88
13,4,77,3,457.7
14,4,63,1,280.69
15,5,40,2,290.79
16,5,8,2,48.03
17,5,73,1,438.8
18,6,9,2,213.85
19,6,17,4,114.12
20,6,71,2,109.44
21,6,34,4,486.69
22,7,94,2,213.97
23,7,92,3,315.59
24,7,52,3,108.71
25,7,57,4,89.71
26,7,16,2,274.75
27,8,44,1,148.25
28,9,30,2,303.84
29,9,1,1,321.52
30,9,91,1,59.28
31,9,30,1,303.84
32,9,5,3,369.55
33,10,31,3,404.53
34,10,86,4,113.56
35,10,28,2,52.87
36,10,93,4,397.08
37,10,32,4,366.22
38,11,13,1,18.14
39,11,85,4,202.7
40,12,53,4,137.15
41,12,94,1,213.97
42,12,87,1,498.78
43,12,8,4,48.03
44,13,14,2,103.42
45,13,25,2,478.82
46,13,69,4,161.15
47,14,24,3,81.96
48,14,60,2,192.83
49,14,10,4,19.75
50,14,71,1,109.44
51,15,2,1,17.38
52,15,31,2,404.53
53,15,53,4,137.15
54,15,62,2,321.8
55,15,52,1,108.71
56,16,1,4,321.52
57,16,34,4,486.69
58,16,37,4,415.56
59,16,90,4,28.32
60,17,38,2,311.17
61,17,8,1,48.03
62,18,8,1,48.03
63,18,75,4,329.44
64,18,65,2,422.21
65,19,11,2,113.23
66,19,9,1,213.85
67,19,87,2,498.78
68,19,52,1,108.71
69,19,73,2,438.8
70,20,6,1,339.97
71,20,54,3,468.64
72,20,34,2,486.69
73,20,86,3,113.56
74,20,31,3,404.53
75,21,86,3,113.56
76,21,59,3,85.88
77,22,2,4,17.38
78,23,13,1,18.14
79,23,69,2,161.15
80,23,65,3,422.21
81,23,17,3,114.12
82,23,9,2,213.85
83,24,21,4,403.88
84,24,70,3,137.53
85,24,79,1,136.12
86,25,39,1,431.54
87,25,18,3,296.69
88,25,15,1,326.69
89,25,96,2,193.9
90,25,35,3,192.37
91,26,92,3,315.59
92,26,27,3,50.91
93,27,33,1,270.43
94,27,12,4,255.15
95,27,36,1,278.26
96,27,1,3,321.52
97,28,82,3,135.06
98,28,21,4,403.88
99,29,72,1,471.74
100,29,15,1,326.69
101,29,89,2,50.0
102,29,70,1,137.53
103,30,71,2,109.44
104,30,56,2,306.52
105,30,6,3,339.97
106,30,47,1,55.0
107,30,46,2,120.23
108,31,86,1,113.56
109,31,46,4,120.23
110,32,31,2,404.53
111,32,23,4,173.42
112,33,95,3,36.45
113,33,53,2,137.15
114,34,90,1,28.32
115,34,49,1,319.66
116,35,26,4,171.61
117,35,45,3,44.5
118,36,4,2,115.49
119,36,52,3,108.71
120,37,36,3,278.26
121,38,52,3,108.71
122,38,4,1,115.49
123,38,34,2,486.69
124,38,75,3,329.44
125,38,5,1,369.55
126,39,45,3,44.5
127,39,56,1,306.52
128,39,50,2,185.59
129,39,33,1,270.43
130,40,1,2,321.52
131,40,47,4,55.0
132,40,9,3,213.85
133,40,80,3,127.08
134,41,93,3,397.08
135,42,86,4,113.56
136,42,42,4,27.68
137,42,90,3,28.32
138,43,25,4,478.82
139,43,86,4,113.56
140,44,79,3,136.12
141,44,52,1,108.71
142,45,27,4,50.91
143,45,75,3,329.44
144,45,60,4,192.83
145,46,66,4,389.12
146,46,95,2,36.45
147,47,37,3,415.56
148,48,87,3,498.78
149,48,29,2,424.51
150,49,6,2,339.97
151,50,10,4,19.75
152,50,54,2,468.64
153,50,92,4,315.59
154,50,64,4,343.88
155,50,32,2,366.22
156,51,14,4,103.42
157,52,90,4,28.32
158,52,7,2,446.63
159,53,18,4,296.69
160,53,86,3,113.56
161,53,57,4,89.71
162,53,71,4,109.44
163,54,58,3,365.92
164,54,32,3,366.22
165,54,67,4,118.38
166,54,81,2,282.88
167,55,10,3,19.75
168,55,31,3,404.53
169,55,43,3,117.81
170,55,70,1,137.53
171,56,30,4,303.84
172,56,89,2,50.0
173,57,9,4,213.85
174,57,53,3,137.15
175,58,54,1,468.64
176,58,27,4,50.91
177,58,50,1,185.59
178,58,74,4,160.77
179,59,46,3,120.23
180,60,54,2,468.64
181,60,63,2,280.69
182,60,35,4,192.37
183,60,63,1,280.69
184,61,86,4,113.56
185,61,93,2,397.08
186,61,60,2,192.83
187,62,4,4,115.49
188,62,76,1,200.84
189,62,11,4,113.23
190,62,18,4,296.69
191,62,24,1,81.96
192,63,42,2,27.68
193,63,59,3,85.88
194,63,44,4,148.25
195,63,36,4,278.26
196,64,61,1,494.81
197,65,7,3,446.63
198,65,29,1,424.51
199,65,84,1,449.42
200,65,4,2,115.49
201,65,26,1,171.61
202,66,31,2,404.53
203,66,61,1,494.81
204,67,60,3,192.83
205,67,48,2,142.6
206,68,96,1,193.9
207,68,21,3,403.88
208,68,14,1,103.42
209,68,40,4,290.79
210,68,51,2,188.24
211,69,89,2,50.0
212,69,14,3,103.42
213,69,88,1,257.22
214,69,73,1,438.8
215,69,45,4,44.5
216,70,9,3,213.85
217,70,2,4,17.38
218,70,63,1,280.69
219,71,82,4,135.06
220,71,91,2,59.28
221,71,56,2,306.52
222,72,84,3,449.42
223,72,79,4,136.12
224,72,60,4,192.83
225,72,94,3,213.97
226,72,42,2,27.68
227,73,58,2,365.92
228,73,60,4,192.83
229,73,44,1,148.25
230,74,24,4,81.96
231,74,28,3,52.87
232,74,34,3,486.69
233,75,90,3,28.32
234,75,72,1,471.74
235,75,67,2,118.38
236,75,11,2,113.23
237,75,93,4,397.08
238,76,31,4,404.53
239,76,83,4,294.37
240,76,58,1,365.92
241,76,12,3,255.15
