product_id,name,category_id,price
1,Box Product,1,321.52
2,Particular Product,1,17.38
3,Agree Product,1,141.14
4,Woman Product,1,115.49
5,Forget Product,1,369.55
6,Parent Product,1,339.97
7,Research Product,1,446.63
8,Whatever Product,1,48.03
9,How Product,1,213.85
10,Industry Product,1,19.75
11,Year Product,1,113.23
12,Senior Product,1,255.15
13,Decide Product,2,18.14
14,Bag Product,2,103.42
15,Person Product,2,326.69
16,Rock Product,2,274.75
17,Then Product,2,114.12
18,Product Product,2,296.69
19,Eight Product,2,405.67
20,Blue Product,2,8.22
21,Same Product,2,403.88
22,Spring Product,2,350.58
23,Fish Product,2,173.42
24,To Product,2,81.96
25,Return Product,3,478.82
26,Plan Product,3,171.61
27,Support Product,3,50.91
28,Camera Product,3,52.87
29,Style Product,3,424.51
30,Others Product,3,303.84
31,Stay Product,3,404.53
32,Analysis Product,3,366.22
33,Hand Product,3,270.43
34,No Product,3,486.69
35,Later Product,3,192.37
36,Recently Product,3,278.26
37,Hospital Product,4,415.56
38,Authority Product,4,311.17
39,Move Product,4,431.54
40,Raise Product,4,290.79
41,Growth Product,4,353.76
42,Actually Product,4,27.68
43,Time Product,4,117.81
44,Kitchen Product,4,148.25
45,Test Product,4,44.5
46,Might Product,4,120.23
47,Born Product,4,55.0
48,Lead Product,4,142.6
49,High Product,5,319.66
50,Prove Product,5,185.59
51,Vote Product,5,188.24
52,Them Product,5,108.71
53,Machine Product,5,137.15
54,Second Product,5,468.64
55,Claim Product,5,325.78
56,Learn Product,5,306.52
57,Control Product,5,89.71
58,Similar Product,5,365.92
59,Nearly Product,5,85.88
60,Rather Product,5,192.83
61,Expect Product,6,494.81
62,Power Product,6,321.8
63,System Product,6,280.69
64,Wide Product,6,343.88
65,Nothing Product,6,422.21
66,Stage Product,6,389.12
67,Member Product,6,118.38
68,Make Product,6,20.89
69,Least Product,6,161.15
70,That Product,6,137.53
71,Side Product,6,109.44
72,Person Product,6,471.74
73,Executive Product,7,438.8
74,Future Product,7,160.77
75,Together Product,7,329.44
76,Else Product,7,200.84
77,Then Product,7,457.7
78,Worry Product,7,232.13
79,Before Product,7,136.12
80,Family Product,7,127.08
81,Upon Product,7,282.88
82,Little Product,7,135.06
83,Either Product,7,294.37
84,Social Product,7,449.42
85,Majority Product,8,202.7
86,Over Product,8,113.56
87,Poor Product,8,498.78
88,Relate Product,8,257.22
89,Hundred Product,8,50.0
90,Great Product,8,28.32
91,Air Product,8,59.28
92,Miss Product,8,315.59
93,Today Product,8,397.08
94,Garden Product,8,213.97
95,Court Product,8,36.45
96,Method Product,8,193.9
